ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3.001,-0.7502,-0.2041,0.7062,-9.7863,-1.1756,-7.4198
3.021,-0.7058,-0.1981,0.7694,-15.5954,-5.2519,0.2977
3.041,-0.7147,-0.2056,0.785,8.3511,-10.5725,-1.8702
3.061,-0.7417,-0.2307,0.7181,-1.1985,-13.8702,-1.3817
3.081,-0.7388,-0.202,0.7117,-2.145,-20.3511,0.2595
3.101,-0.7386,-0.1855,0.7102,-5.5496,-18.916,5.3817
3.121,-0.7408,-0.1917,0.72,-5.4504,-17.5267,9.4198
3.141,-0.75,-0.1967,0.7239,-2.8397,-16.626,13.9695
3.161,-0.7786,-0.2383,0.7185,-4.6031,-14.916,17.9389
3.181,-0.8009,-0.2485,0.7003,0.9313,-15.1145,10.5496
3.201,-0.8052,-0.2296,0.7241,-5.4733,-13.9924,11.9084
3.221,-0.7758,-0.2266,0.7302,0.7939,-12.374,7.1527
3.241,-0.7726,-0.2231,0.72,0.8321,-9.4809,6.2672
3.261,-0.7787,-0.2317,0.7009,-8.7405,-9.5802,4.626
3.281,-0.7651,-0.2249,0.7472,-9.771,-8.6031,3.3664
3.301,-0.7535,-0.212,0.7377,-4.7786,-7.6489,0.8931
3.321,-0.752,-0.2123,0.7329,-6.1756,-4.0,-0.0687
3.341,-0.7465,-0.2056,0.7463,-3.1908,-2.0229,-0.9542
3.361,-0.7362,-0.1956,0.7474,-2.9313,-0.2824,-0.8321
3.381,-0.7412,-0.2,0.7504,-4.0076,1.3511,-0.1374
3.401,-0.2208,-1.7806,0.0992,-158.0763,-73.4198,70.7786
3.421,-0.7717,-0.2892,0.4906,14.3053,78.7481,-122.626
3.441,-0.6876,0.3077,1.4695,-25.4733,112.3435,-118.7557
3.461,-0.4731,0.5068,1.3143,-17.5344,-54.8244,43.4275
3.481,-0.8025,-0.1951,0.7286,-72.6031,-79.687,-28.0916
3.501,-0.7594,-0.2657,0.8954,-88.1679,-26.1985,-84.7405
3.521,-0.6521,-0.4819,0.5944,169.5572,148.9771,-11.0076
3.542,-0.6996,-0.3229,0.7722,-82.5954,63.855,117.2443
3.561,-0.7274,-0.0701,0.7489,64.7557,-11.5038,-69.313
3.581,-0.5778,-0.3835,0.8064,-30.1985,16.7481,-21.0153
3.601,-0.7897,-0.2738,0.6578,32.7863,-1.5191,34.4351
3.621,-0.6542,0.1917,0.6262,-51.1145,-0.6183,-0.5954
3.641,-0.8268,-0.4811,0.7317,72.9237,-4.4962,-30.8931
3.661,-0.7501,-0.2367,0.729,62.9695,-4.1603,-8.9084
3.681,-0.79,-0.2628,0.7454,48.7099,-1.8244,-51.8397
3.701,-0.702,-0.2762,0.7719,3.5344,-1.4962,-41.855
3.721,-0.7631,-0.2819,0.8169,-106.7252,-15.1298,-13.2595
3.741,-0.924,-0.3069,0.7988,-172.458,-15.7939,-18.542
3.761,-0.2742,0.0801,0.8124,147.1069,-116.8702,241.2061
3.781,-1.1229,-0.0665,0.6738,-13.4046,-6.2977,20.4275
3.801,-0.6171,-0.2019,0.751,-10.5954,-20.7176,-14.0611
3.821,-0.6699,-0.3403,0.7339,13.3969,-11.1298,28.4885
3.841,-0.7188,-0.135,0.8486,-69.4733,-31.6489,27.8931
3.861,-0.734,-0.2234,0.7412,-80.4504,-26.8168,22.5725
3.881,-0.7616,-0.1492,0.7899,-57.313,-22.4351,14.313
3.901,-0.8164,-0.2708,0.8251,-29.6031,-20.8626,26.1221
3.921,-0.8811,-0.403,0.9752,41.6641,-42.374,0.3588
3.941,-0.8824,-0.3013,0.9259,132.5802,-36.8397,-18.7099
3.961,-0.7012,-0.1071,0.8915,136.2672,-57.1832,-4.4504
3.981,-0.6226,0.0627,0.8922,120.313,-72.4428,-6.1603
4.001,-0.5758,-0.0208,0.922,94.626,-88.6565,36.8092
4.021,-0.8024,0.0106,0.8898,124.8015,-94.3511,90.8931
4.041,-0.6199,0.0363,0.8501,135.4427,-80.8626,143.7099
4.061,-0.5688,-0.021,0.8049,129.6641,-57.4351,110.7634
4.081,-0.4104,-0.0133,0.7698,104.3283,-62.9008,113.1145
4.101,-0.3726,0.1704,0.9102,125.1374,-48.4962,78.0611
4.121,-0.9684,0.2666,1.0225,119.3588,-20.8321,55.4656
4.141,-0.407,0.2765,1.2386,100.3588,-79.2595,117.7099
4.161,-0.5178,0.3331,1.083,140.9618,-107.084,91.2977
4.182,-0.4795,0.2543,1.0031,120.2824,-128.1832,93.8397
4.201,-0.506,0.3744,1.1018,106.1985,-103.771,91.458
4.221,-0.4779,0.3748,1.0032,72.8626,-96.9847,77.4962
4.241,-0.3293,0.34,0.9249,46.9389,-77.0305,93.2061
4.261,-0.2297,0.3339,0.9454,18.2901,-45.458,79.6336
4.281,-0.3655,0.4177,1.1272,19.4275,-75.1756,91.5878
4.301,-0.4076,0.5112,1.1322,35.1374,-77.5573,101.8397
4.321,-0.1801,0.5037,1.0392,15.4885,-110.1221,91.7328
4.341,0.0189,0.6075,1.0088,-21.7939,-115.4046,62.4427
4.361,-0.1129,0.4547,1.011,-70.2519,-115.6412,76.5802
4.381,-0.0785,0.4087,0.9753,-77.7481,-111.0076,88.8931
4.401,-0.0591,0.4222,1.0723,-101.2519,-107.2748,75.7252
4.421,-0.0065,0.3601,1.0469,-149.0,-122.1069,53.5878
4.441,0.071,0.3167,1.0077,-137.4427,-117.5344,27.3359
4.461,0.1172,0.286,1.0325,-147.4886,-94.5038,23.4504
4.481,0.2013,0.3489,1.1366,-168.8779,-89.2366,11.0763
4.501,0.1952,0.2646,1.1158,-149.2748,-119.3435,23.5114
4.521,0.2578,0.1873,1.0735,-98.0916,-86.9618,36.9008
4.541,0.2274,0.1541,1.1548,-103.6641,-71.4657,32.5038
4.561,0.3003,0.1545,1.2118,-137.2901,-117.7328,26.855
4.581,0.3054,0.1061,1.1278,-138.9695,-112.2137,14.3664
4.601,0.3853,0.0333,1.0923,-175.1832,-103.4122,11.9847
4.621,0.5934,0.0668,1.077,-154.9695,-119.8931,25.0992
4.641,0.4457,-0.0548,1.1875,-59.2977,-111.6107,38.3817
4.661,0.4203,-0.0864,1.0006,-73.4046,-115.1069,44.458
4.681,0.4578,-0.1627,0.951,-92.3588,-119.3893,31.9695
4.701,0.4561,-0.2075,0.9856,-103.8244,-76.6489,28.458
4.721,0.5552,-0.1992,1.0643,-152.6717,-98.6947,10.3969
4.741,0.5369,-0.2477,0.983,-112.5954,-101.1756,-16.8397
4.761,0.6035,-0.2565,0.9613,-87.5115,-112.3817,-26.8015
4.781,0.6754,-0.2484,0.8278,-58.9847,-122.6412,-30.1221
4.801,0.629,-0.3165,0.7723,-52.4275,-118.6947,-28.2519
4.822,0.6411,-0.2745,0.6991,-92.0687,-110.7863,-40.4962
4.841,0.6852,-0.2665,0.5446,-72.5725,-85.4733,-39.0229
4.861,0.7173,-0.3774,0.6898,-22.0382,-61.3969,-33.1527
4.881,0.726,-0.4265,0.728,-37.1832,-63.0305,-32.7176
4.901,0.7961,-0.2782,0.5941,-40.9084,-58.1527,-20.2137
4.921,0.8984,-0.208,0.5908,-15.2061,-59.1756,-27.2061
4.941,0.8499,-0.2427,0.5699,-32.4198,-56.3511,-23.2748
4.961,0.8474,-0.241,0.5092,-12.4504,-41.687,-20.8473
4.981,0.8612,-0.2972,0.5469,-16.8473,-30.3511,-25.1221
5.001,0.8799,-0.2294,0.5125,-60.6794,-21.0534,-15.2061
5.021,0.8499,-0.12,0.4318,-22.1832,-8.7252,-18.7023
5.041,0.8268,-0.1812,0.4215,-19.6794,8.5573,-6.1374
5.061,0.8024,-0.2902,0.5283,-38.9771,33.8626,-2.5802
5.081,0.8489,-0.2686,0.4297,-85.6565,67.3664,20.313
5.101,0.8121,-0.2504,0.5321,-25.1069,72.7405,1.9542
5.121,0.8013,-0.2877,0.524,22.3588,55.916,5.0229
5.141,0.7743,-0.3247,0.5182,49.8321,101.6565,25.7634
5.161,0.797,-0.298,0.6746,75.2672,116.9771,22.5573
5.181,0.7711,-0.2833,0.7029,86.1832,120.7939,44.3817
5.201,0.7346,-0.2509,0.7767,103.6565,122.0229,45.8702
5.221,0.6593,-0.2914,0.7305,28.1832,119.0763,69.374
5.241,0.6101,-0.3766,0.9752,-26.2824,124.2443,48.6718
5.261,0.5876,-0.407,0.9944,-75.8702,118.1298,27.7939
5.281,0.5737,-0.3048,0.8195,37.7099,96.9924,19.1908
5.301,0.5536,-0.3643,0.8496,59.0153,103.9924,19.3664
5.321,0.4305,-0.397,0.9937,-15.771,102.6641,-9.4733
5.341,0.4104,-0.4108,1.0662,-3.4962,102.542,-9.6641
5.361,0.4667,-0.2905,1.0696,55.6183,117.3206,6.2214
5.381,0.4235,-0.2489,1.0306,58.7634,91.9847,1.0
