ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
24.461,0.0438,0.0259,1.1066,-0.4351,1.1527,-0.7786
24.481,0.0291,0.0176,1.1466,-4.5115,3.0229,0.2595
24.501,0.0427,0.0107,1.1987,-2.6183,0.0992,-1.3053
24.521,0.016,0.0504,1.132,-2.374,-5.5878,-1.4885
24.541,0.0099,0.0389,1.0914,-3.5115,4.0687,0.5344
24.561,0.0209,0.0225,1.1497,-6.5038,7.084,1.2061
24.581,0.0389,0.0079,1.2426,-4.3893,3.3282,-0.1221
24.601,0.0411,0.0101,1.1687,-2.0,-8.2137,-0.2519
24.621,0.0149,0.0267,1.0735,-0.5344,1.229,-0.687
24.641,0.0255,0.0249,1.1356,-3.4351,5.7786,-0.313
24.662,0.0208,0.0155,1.1812,-5.4656,2.8702,0.8015
24.681,0.0195,0.0214,1.1946,-0.542,0.3511,-0.4656
24.701,0.0131,0.0271,1.119,-1.2443,-0.6947,-0.5267
24.721,0.0188,0.0286,1.1248,-3.4198,2.7252,0.8092
24.741,0.0178,0.031,1.1494,-4.9084,6.6336,1.2519
24.761,0.0371,0.0215,1.2175,-1.6336,3.2672,0.1832
24.781,0.0096,0.0359,1.1584,0.8626,-5.5725,-0.8626
24.801,0.01,0.0399,1.0994,-0.2061,1.0763,0.6794
24.821,0.0333,0.0225,1.1348,-7.4351,1.6641,1.0153
24.841,0.0361,0.0054,1.1534,-7.5954,2.9847,-0.2824
24.861,0.0415,0.0188,1.2352,-0.6947,-1.0153,-1.6031
24.881,0.0148,0.0421,1.1241,2.0763,-1.771,-0.5267
24.901,0.0165,0.0341,1.1224,-2.771,1.2748,-0.2137
24.921,0.0155,0.0313,1.1357,-7.229,2.1527,0.3282
24.941,0.0273,0.0148,1.2357,-4.3817,0.3664,-2.4809
24.961,0.01,0.0314,1.1488,-0.2366,-6.9771,0.4809
24.981,0.0198,0.0297,1.149,-0.4656,-0.084,0.2901
25.001,0.0154,0.0278,1.0718,-4.8473,0.771,1.3435
25.021,0.0425,0.0104,1.1931,-4.8092,6.8321,-0.2901
25.041,0.0284,0.0167,1.1809,-2.3053,-3.8702,-1.1832
25.061,0.0223,0.0295,1.1687,-1.4122,-2.6183,-1.8702
25.081,-0.0018,0.0391,1.0813,-3.0763,-2.2901,1.145
25.101,0.0232,0.0255,1.1633,-4.5954,6.8855,0.1985
25.121,0.0453,0.0,1.1935,-4.6336,-1.7176,-0.2977
25.141,0.036,0.0164,1.1621,-2.4198,-6.2748,-2.6107
25.161,-0.0066,0.0482,1.0552,-2.7786,2.9771,-2.0153
25.181,0.0131,0.032,1.1553,-4.8168,9.4275,-0.3817
25.201,0.012,0.0138,1.1919,-4.4656,1.687,-0.1298
25.221,0.0367,0.0037,1.1709,-0.9618,-2.3969,0.0687
25.241,0.0052,0.0396,1.0959,-4.084,-2.5191,-2.1527
25.261,0.0033,0.0288,1.1141,-3.8168,10.0382,-0.2137
25.281,0.0178,0.0225,1.2097,-5.3435,3.7405,0.2137
25.302,0.0209,0.0181,1.1926,-3.1221,-4.0763,0.2595
25.321,-0.0049,0.0377,1.1018,-4.1756,-1.313,0.0611
25.341,-0.0273,0.0542,1.04,-14.5267,11.1145,1.1374
25.361,-0.0269,-0.0088,1.0081,-56.3206,24.9389,3.9084
25.381,-0.068,-0.1025,1.1158,-99.0229,48.2519,-1.4656
25.401,-0.037,-0.1449,1.1611,-207.4733,33.1756,-4.1679
25.421,-0.0725,-0.1481,0.9869,-220.626,34.1756,-7.0
25.441,-0.0428,-0.3799,0.9912,-214.4427,63.3969,-22.6031
25.461,-0.1367,-0.1876,0.9333,-212.7023,64.2901,-42.6031
25.481,-0.1554,-0.3381,1.2906,-169.3969,74.1069,-20.2824
25.501,0.1272,-0.5736,1.7418,-85.1069,34.9618,-10.8015
25.521,-0.0925,-0.4465,0.9888,-69.0687,-25.9542,-11.8779
25.541,-0.105,-0.4603,0.6257,-98.687,-5.2061,-31.0305
25.561,-0.1454,-0.4325,0.8918,-152.3664,10.7023,-31.916
25.581,-0.2349,-0.406,0.9863,-158.2519,15.8321,-22.3893
25.601,-0.1431,-0.5165,1.3497,-131.5114,18.8397,2.0916
25.621,-0.0004,-0.7355,0.8558,-154.1221,-74.6489,-0.2824
25.641,-0.0581,-0.7919,0.4176,-229.8626,-50.3206,-34.0687
25.661,-0.0801,-0.559,0.9323,-189.2366,-9.1679,-34.7328
25.681,0.1271,-0.7935,1.3774,-86.6565,21.2519,-4.7634
25.701,0.068,-0.8772,1.0565,-47.5115,-24.2977,2.6031
25.721,-0.012,-0.8933,0.4514,-77.8244,-34.7252,-9.7634
25.741,-0.1031,-0.7985,0.6415,-109.6489,-17.9695,-29.5496
25.761,-0.0481,-0.7747,1.0989,-57.8473,-2.4733,-3.7634
25.781,0.1957,-0.9678,0.9888,-21.8397,-10.0687,3.6183
25.801,0.0813,-0.9329,0.4105,-46.3969,-31.8931,-18.2977
25.821,-0.1122,-0.7484,0.4139,-81.3206,3.9924,-22.6794
25.841,-0.2316,-0.6573,0.7823,-75.8931,12.9466,4.5954
25.861,0.1239,-0.8947,1.1443,-28.0611,7.229,21.145
25.881,0.2059,-1.0707,0.6288,-15.9389,-37.2977,-2.7176
25.901,-0.0447,-0.8859,0.2074,-55.3817,-26.2901,-22.7634
25.921,-0.2567,-0.6306,0.5583,-74.5344,6.8168,-4.3511
25.942,0.1041,-0.8778,0.9038,-25.1221,14.4733,24.3588
25.961,0.2009,-1.0623,0.766,4.7786,-7.1908,2.8321
25.981,-0.0529,-0.8502,0.2472,-18.3893,-15.5573,-14.0534
26.001,-0.1572,-0.7572,0.4803,-44.1374,24.6031,-8.8473
26.021,-0.04,-0.8263,0.7927,-32.2824,-1.0916,9.9466
26.041,0.0736,-0.938,0.7191,-4.0382,-10.0992,5.0611
26.061,0.0332,-0.9004,0.4827,1.2519,-9.6107,-2.6565
26.081,-0.0409,-0.8667,0.3503,-16.5038,1.5267,-4.1908
26.101,0.0061,-0.8699,0.6624,-11.2443,10.458,3.6565
26.121,0.0826,-0.9536,0.741,9.7939,-0.9008,-0.7405
26.141,-0.0103,-0.877,0.5433,14.7405,-17.458,-6.2595
26.161,-0.0594,-0.866,0.2838,-7.8931,-1.2824,-6.6641
26.181,-0.076,-0.7808,0.6349,-22.0076,0.3817,2.542
26.201,0.0289,-0.9186,0.66,-8.6336,12.4504,5.5267
26.221,0.0688,-0.9482,0.7236,7.0076,-11.0229,1.0305
26.241,0.0225,-0.9171,0.5187,10.3588,-6.1985,-7.8855
26.261,-0.0358,-0.8601,0.5049,-2.5267,-3.9695,-6.4809
26.281,0.0042,-0.8857,0.6412,-0.0992,-1.7939,0.0153
26.301,0.0623,-0.9196,0.6835,12.5954,-4.1374,-0.9389
26.321,0.0465,-0.911,0.5939,23.0534,-6.1298,-4.6641
26.341,0.0641,-0.9093,0.5289,19.6947,-10.771,-6.7405
26.361,-0.0442,-0.8442,0.5035,4.084,-1.2977,-11.7176
26.381,0.0142,-0.8206,0.6785,9.0763,-3.6412,-1.5191
26.401,0.0168,-0.8705,0.6674,23.7863,11.2595,0.3664
26.421,0.0636,-0.8844,0.7434,36.9084,2.2443,-0.6031
26.441,0.062,-0.8715,0.6774,52.1374,1.0992,-5.0916
26.461,0.0255,-0.8849,0.6045,58.2977,-10.0382,-9.8168
26.481,-0.0251,-0.7894,0.7737,70.9924,-1.6107,-11.5649
26.501,-0.0081,-0.839,0.8146,85.8931,-5.2901,-3.9542
26.521,0.0311,-0.8536,0.6957,73.8168,-8.687,-6.542
26.541,0.1012,-0.8431,0.7373,68.2214,-1.4885,-13.5267
26.561,0.1307,-0.7847,0.97,95.0229,2.0992,-17.5954
26.582,0.1277,-0.7137,1.2947,152.0534,-8.0992,-11.3206
26.601,0.0781,-0.6628,0.7822,191.9084,-93.1527,16.3817
26.621,-0.1626,-0.7209,0.0254,146.8015,-25.855,4.9924
26.641,0.0883,-0.5323,0.9281,106.145,39.2672,-3.9389
26.661,0.1749,-0.4999,1.2467,129.4427,-11.5191,1.3282
26.681,0.0996,-0.4702,1.2294,140.0076,-58.2214,15.2672
26.701,-0.0398,-0.4939,0.8502,108.7863,-76.0611,38.2595
26.721,-0.0215,-0.6006,0.6804,74.3359,-35.6412,33.4046
26.741,0.0743,-0.4639,1.0186,67.9084,15.8092,-4.2443
26.761,0.0612,-0.2151,1.2947,62.7405,-8.9771,8.8779
26.781,0.1223,-0.3156,0.9556,86.7786,-67.1221,37.2977
26.801,0.1742,-0.4705,0.5946,42.1374,-46.4656,20.7099
26.821,0.1416,-0.4772,0.8906,77.2519,67.2214,-7.458
26.841,0.0386,-0.074,1.5554,95.6947,67.0076,-4.1221
26.861,0.1506,-0.2662,1.537,58.2061,-52.8397,43.0534
26.881,0.1132,-0.4691,0.7076,9.7023,-88.2061,33.0076
26.901,-0.0167,-0.5399,0.7375,38.7252,26.1145,-19.9618
26.921,0.1318,-0.1698,1.1039,50.1527,36.5802,-79.5649
26.941,0.1222,-0.2118,1.0604,41.6947,60.6718,-91.7939
26.961,0.1438,-0.0573,1.3551,10.0992,10.0992,-57.5725
26.981,0.2631,0.0505,1.149,-3.9695,-70.0611,4.9313
27.001,0.183,-0.1658,0.9849,35.2366,-39.2443,71.626
27.021,0.0178,-0.2709,0.9703,100.0382,57.9389,69.5573
27.041,0.1344,-0.4055,1.6686,48.7557,10.7786,-33.916
27.061,0.1403,0.072,1.0839,-9.6718,-98.7405,7.4275
27.081,0.0497,-0.3754,0.5746,11.9008,-24.7023,9.6412
27.101,0.1094,-0.1307,1.0812,42.2366,67.0534,-31.2137
27.121,0.1511,0.0469,1.4592,35.084,17.9542,5.6565
27.141,0.1647,-0.2517,1.1643,2.3817,-33.0305,15.9084
27.161,0.2059,-0.389,0.9811,11.8702,1.2366,-17.0687
27.181,0.0947,-0.068,1.3596,29.4351,18.084,-38.2824
27.201,0.0762,0.005,1.3153,8.4427,-49.6947,-5.8092
27.222,0.0508,-0.1398,0.9524,6.9924,-47.6336,1.1527
27.241,0.1603,-0.1534,1.0328,34.7252,4.4885,-15.5954
27.261,0.1592,-0.026,1.3713,30.5191,-3.9695,-17.1908
27.281,0.1395,0.025,1.1943,-3.8092,-57.1527,2.0305
27.301,0.1278,-0.1244,0.781,-11.1985,-41.3817,5.1603
27.321,0.1804,-0.0834,0.9417,24.3817,33.8321,-10.3206
27.341,0.2645,-0.0732,1.4664,33.2061,28.9695,-7.5496
27.361,0.2004,-0.087,1.3429,0.2214,-43.7176,4.6336
27.381,0.3035,0.3408,1.1002,35.0305,16.6031,-51.0916
27.401,0.2187,-0.0812,1.0721,-31.0076,-6.4809,-13.8473
27.421,0.2113,-0.0791,1.344,-26.6718,-9.313,-10.5038
27.441,0.1819,-0.0215,1.2687,32.229,-45.9008,0.4962
27.461,0.1033,-0.0931,0.8949,33.3893,-6.6718,24.458
27.481,0.1312,-0.1338,0.8475,28.0916,38.2061,-3.3206
27.501,0.2299,-0.0883,1.4689,50.3893,70.1832,-14.4809
27.521,0.197,-0.0988,1.34,3.2824,-1.6031,-44.0153
27.541,0.1316,-0.0051,1.0249,-2.3359,-3.542,-39.1756
27.561,0.1083,0.0574,1.1747,-6.6336,4.4427,-24.0611
27.581,0.1996,-0.1077,1.1816,-11.8855,-15.5115,-27.626
27.601,0.2305,-0.3545,1.0051,-29.9542,-9.2519,-63.0153
27.621,0.3904,1.1741,0.4583,42.4656,41.2672,-71.5191
27.641,0.1819,-0.0524,1.2494,87.7786,1.1145,24.4351
27.661,0.1113,-0.1104,1.1031,69.0763,-23.8015,-4.0076
27.681,0.1702,-0.0206,1.0873,129.0076,-25.3206,-45.8321
27.701,0.1852,0.087,1.1353,53.5649,7.4351,-46.1527
27.721,0.1696,0.0758,1.1366,-6.8855,13.3893,-53.3511
27.741,0.1927,0.0531,1.1401,-71.9313,-73.1145,-69.5649
27.761,0.1617,0.1722,1.2764,-38.9466,-79.2137,-90.771
27.781,0.2432,0.162,1.0957,31.4275,-8.4504,-25.0992
27.801,0.2354,0.108,1.0884,65.7328,-1.6565,-34.0153
27.821,0.2521,0.1263,1.1482,41.9924,-10.9618,-38.7023
27.841,0.2285,0.0895,1.0857,-18.1985,2.8931,2.5191
27.862,0.1827,0.2318,1.0587,-25.1069,-6.9695,-25.5114
27.881,0.2212,0.2157,1.1697,73.0687,-0.6107,-43.458
27.901,0.2845,0.1393,1.2277,86.7176,5.4656,-19.4733
27.921,0.2523,0.1632,1.1085,11.687,2.4504,2.9771
27.941,0.217,0.1808,1.0785,-90.8168,-6.3206,7.1069
27.961,0.157,0.2234,1.1095,-45.1145,-6.7099,-13.2366
27.981,0.2222,0.0986,1.1584,33.3053,0.9847,-18.2366
28.001,0.2115,0.1021,1.1497,-22.6412,1.1985,2.6183
28.021,0.2034,0.2312,1.0786,-62.687,-0.4504,12.145
28.041,0.2323,0.2239,1.1476,-69.374,-8.9313,0.084
28.061,0.2471,0.1292,1.1765,11.9466,-0.6107,-11.4046
28.081,0.2289,0.0682,1.1095,35.1832,1.3206,3.9237
28.101,0.2252,0.1222,1.0754,-0.0763,-1.9466,6.3893
28.121,0.2126,0.1071,1.0933,-44.8779,-1.4122,7.3511
28.141,0.2156,0.1355,1.1279,-34.4962,-0.0153,-1.542
28.161,0.2358,0.0359,1.1107,4.3206,4.5573,-2.3893
28.181,0.219,0.0417,1.1083,45.8855,7.8473,-4.8473
28.201,0.2347,0.0966,1.1388,5.6336,8.4198,2.5802
28.221,0.2196,0.1554,1.1707,-18.6489,5.2519,-1.4275
28.241,0.2223,0.1393,1.1957,-4.8702,4.3282,-4.9008
28.261,0.1949,0.0819,1.0942,19.3893,5.2061,-3.8702
28.281,0.2216,0.0853,1.146,18.3435,3.9466,-4.1832
28.301,0.2277,0.1898,1.1487,-12.5191,3.4885,3.4046
28.321,0.2115,0.2664,1.1234,6.6107,1.8168,6.1374
28.341,0.2079,0.1982,1.0745,50.8626,4.8855,3.5573
28.361,0.2086,0.1395,1.0706,55.9695,5.7863,7.5649
28.381,0.2308,0.1471,1.1094,22.7939,8.2061,15.4504
28.401,0.2246,0.2146,1.1272,-14.5878,9.2061,12.3053
28.421,0.1982,0.2405,1.0813,-10.916,7.2672,10.8092
28.441,0.2018,0.2379,1.1195,33.4351,12.4275,9.6412
28.461,0.2423,0.1729,1.2244,57.2519,11.9695,14.2061
28.481,0.226,0.2001,1.1394,3.7634,9.6565,22.3053
28.502,0.1875,0.2135,1.1259,-39.8397,4.0382,16.3511
28.521,0.1633,0.1843,1.1251,-39.8931,3.3282,15.7252
28.541,0.1779,0.1511,1.0936,-29.771,5.6794,18.7099
28.561,0.1915,0.1262,1.2047,-33.6718,3.0,14.6031
28.581,0.2222,0.1974,1.2051,-54.7786,7.4046,28.0229
28.601,0.1815,0.1628,1.157,-61.5954,-5.542,29.5573
28.621,0.141,0.1342,1.0608,57.2214,-11.5038,-12.1832
28.641,0.2198,0.0536,1.1632,55.8168,-9.9084,-9.313
28.661,0.2141,0.0923,1.1357,-14.9771,-4.4198,6.8626
28.681,0.1952,0.1359,1.1094,-32.9008,-4.8092,12.2595
28.701,0.2,0.1353,1.1212,-24.7176,-2.9313,11.3817
28.721,0.157,0.139,1.0968,2.2977,-6.7481,-1.1908
28.741,0.2014,0.1353,1.0778,112.229,-7.2443,-30.4656
28.761,0.1914,0.1,1.1256,26.0382,1.9695,-10.5878
28.781,0.2091,0.2096,1.0967,-26.6947,10.2672,-0.1908
28.801,0.2406,0.2318,1.1425,-56.7557,12.0305,2.3969
28.821,0.2251,0.1665,1.1304,-57.8855,11.1527,8.8015
28.841,0.1827,0.1093,1.1095,-58.1832,12.1298,18.3893
28.861,0.1755,0.1044,1.0605,2.3206,5.8855,-3.9237
28.881,0.2081,0.1061,1.2015,-0.2519,8.6107,-8.1985
28.901,0.215,0.1782,1.1595,-13.3664,11.6947,2.8779
28.921,0.1919,0.1218,1.1166,-3.9771,12.8855,-0.4198
28.941,0.1967,0.0872,1.1742,-25.7634,11.4962,6.4275
28.961,0.1821,0.1506,1.1455,-26.5267,2.4351,7.1298
28.981,0.1555,0.1371,1.1183,-10.9389,1.0992,-2.0687
29.001,0.1852,0.109,1.1674,-3.6107,0.9771,-5.3893
29.021,0.2001,0.0345,1.1765,-14.5115,0.7634,-4.3282
29.041,0.1868,0.0046,1.145,-40.2366,2.9313,5.3282
29.061,0.2026,0.1201,1.1112,-67.5649,1.7634,9.0382
29.081,0.1796,0.1277,1.1311,-64.6794,-0.771,4.5344
29.101,0.1854,0.0776,1.1456,-35.0382,-1.3053,1.6718
29.121,0.1824,-0.0167,1.1647,-34.1908,-1.4427,6.916
29.142,0.1842,-0.0337,1.1251,-80.6031,-0.0534,6.2519
29.161,0.1752,-0.0259,1.0862,-129.6183,6.1679,1.5878
29.181,0.1803,-0.0442,1.0895,-143.1298,7.0,-0.3206
29.201,0.179,-0.1169,1.1991,-117.1069,3.7939,1.1985
29.221,0.2152,-0.2324,1.2009,-164.1298,-3.1298,14.2137
29.241,0.2174,-0.2755,1.078,-231.7786,-18.145,17.0
29.261,0.202,-0.2725,1.0995,-248.8779,-16.7176,6.4198
29.281,0.2062,-0.3362,1.2223,-250.1374,-19.4351,12.0076
29.301,0.1193,-0.5291,1.0343,-244.9924,-25.7863,30.0153
29.321,0.1381,-0.569,0.8994,-191.6107,-20.3206,22.687
29.341,0.1841,-0.5721,0.9169,-186.0229,-19.8168,17.1069
29.361,0.1829,-0.6211,0.8656,-187.6336,-10.9313,15.1603
29.381,0.2021,-0.6923,0.8107,-199.8779,-5.3206,3.4733
29.401,0.2122,-0.7401,0.8217,-250.1374,-6.5191,37.6107
29.421,0.1248,-0.6926,0.672,-250.1374,-1.3359,15.8092
29.441,0.1785,-0.8802,0.6531,-194.3511,11.9008,-4.6641
29.461,0.1638,-0.8772,0.5878,-186.3893,3.8626,23.4122
29.481,0.2399,-0.8301,0.5964,-146.084,-2.0992,24.687
29.501,0.1877,-0.8728,0.4187,-250.1374,-8.9924,52.0534
29.521,0.0991,-1.0004,0.2692,-250.1374,6.9084,43.2137
29.541,0.1135,-1.0476,0.2865,-165.5038,12.8855,21.1679
29.561,0.087,-0.9523,0.314,-144.4198,-8.6718,30.313
29.581,0.0573,-0.8973,0.1809,-125.6794,-9.6489,23.1679
29.601,0.1978,-0.9991,0.1067,-137.0763,1.3206,19.771
29.621,0.0807,-1.0377,0.035,-202.6947,4.0687,21.8473
29.641,0.0748,-1.015,0.0056,-98.542,18.7634,13.1145
29.661,0.0544,-0.969,-0.046,-51.3893,3.6031,10.5878
29.681,0.0817,-1.0345,-0.0005,-48.8702,-1.5496,8.9084
29.701,0.0757,-0.9666,0.0117,-30.8015,-4.4122,4.3817
29.721,0.0631,-0.9703,-0.0404,16.9542,0.9008,-12.7939
29.741,0.0725,-1.0015,-0.0906,31.3511,6.6412,-13.4656
29.761,0.0969,-0.9767,-0.0341,33.2214,-7.229,-4.1603
29.782,0.1357,-0.9316,-0.022,17.4198,-5.687,-2.8779
29.801,0.0751,-0.9601,0.0061,-21.7481,6.5725,2.374
29.821,0.0853,-1.0083,0.0123,-15.2366,6.6412,3.0229
29.841,0.0714,-0.9971,-0.0332,-20.0534,2.9542,6.0076
29.861,0.1,-1.0022,-0.0339,-7.1985,1.8473,-0.2748
29.881,0.0906,-0.9891,-0.0085,12.8321,1.2519,-4.2137
29.901,0.0851,-0.9578,0.0162,19.5649,2.9313,-7.7939
29.921,0.0806,-0.9983,-0.005,-6.0534,5.2366,-0.5191
29.941,0.0729,-0.9821,0.007,-24.5496,-1.6031,4.6565
29.961,0.0619,-0.9535,0.0292,-21.1145,-3.2748,4.5878
29.981,0.0652,-0.9633,-0.0155,-3.4656,-1.4733,0.3817
30.001,0.0938,-0.9862,-0.0253,8.458,-1.313,-2.8092
30.021,0.0901,-1.0037,-0.0452,1.6565,-1.5038,2.0153
30.041,0.0699,-0.9796,-0.024,-10.4427,-3.916,5.8092
30.061,0.071,-0.9774,0.0142,-9.229,-3.4733,4.6641
30.081,0.085,-1.02,-0.0011,-7.3511,0.6794,-7.3664
30.101,0.1171,-1.0021,-0.059,5.7557,3.1985,-13.4427
30.121,0.1061,-0.9893,-0.0264,-0.6565,-2.4198,-7.4427
30.141,0.0813,-0.9404,0.0024,-5.1908,-6.7557,-1.3282
30.161,0.0902,-0.9534,-0.0251,-6.0076,-1.8855,-1.3664
30.181,0.0869,-0.9702,-0.0286,4.3588,3.0687,-6.8015
30.201,0.0492,-0.9921,0.0122,-5.0611,1.084,-12.0305
30.221,0.0823,-0.9227,-0.031,-7.7786,7.5038,-21.3511
30.241,0.0848,-0.9807,-0.0298,1.6565,1.7099,-6.2519
30.261,0.1075,-1.0134,-0.0087,3.8931,3.1679,-0.0382
30.281,0.1165,-0.9924,0.006,2.6718,3.2519,1.916
30.301,0.1072,-1.0089,-0.0466,-4.8473,1.1374,6.3511
30.321,0.0725,-0.9806,-0.0066,-16.313,-1.3511,5.4733
30.341,0.1005,-0.9614,0.004,-17.687,5.1374,1.1985
30.361,0.1113,-0.9908,-0.0056,-5.8931,7.2595,-2.5038
30.381,0.1155,-0.9724,-0.012,4.3664,3.0153,-2.1298
30.401,0.1172,-0.9774,-0.0287,-2.2901,2.9771,0.8473
30.422,0.0984,-0.9812,-0.0199,-12.4046,-1.5802,8.3053
30.441,0.1232,-0.9752,0.0251,-12.8779,-3.8321,5.8931
30.461,0.1068,-0.97,0.0203,-9.8321,-0.5344,-1.1145
30.481,0.1035,-0.9799,-0.0383,-3.7557,-1.8855,-4.4885
30.501,0.0881,-0.9552,-0.067,-1.9924,-2.5191,-4.6718
30.521,0.0905,-0.9867,-0.0444,-6.2366,-3.1985,1.4733
30.541,0.1028,-0.9999,-0.0015,-5.9924,-6.8015,6.0458
30.561,0.073,-0.9598,-0.0052,-8.8015,-5.0382,3.5802
30.581,0.0758,-0.9547,-0.0708,-2.7328,2.145,-2.2443
30.601,0.0878,-0.9713,-0.0647,-4.5802,1.7176,-1.5267
30.621,0.1288,-1.0093,0.0005,-6.3206,0.7481,-1.4122
30.641,0.1102,-0.9836,-0.0079,4.1908,0.7939,0.7557
30.661,0.0959,-0.9943,-0.0232,5.1756,0.0534,2.8626
30.681,0.0778,-0.9895,-0.064,-8.084,0.0534,3.7405
30.701,0.0859,-0.9789,-0.0509,-10.4962,-0.3435,0.542
30.721,0.0905,-0.9734,-0.0256,-5.9008,2.916,-2.5878
30.741,0.0922,-0.9473,0.0016,4.313,2.687,-3.5038
30.761,0.1035,-0.9984,-0.0332,1.4427,4.2366,-0.5802
30.781,0.1055,-1.011,-0.0311,-10.7176,0.1145,4.0305
30.801,0.097,-0.979,-0.025,-11.3664,-1.4809,2.0
30.821,0.0811,-0.9573,-0.0121,-4.5878,1.9237,-1.5573
30.841,0.0916,-0.9508,-0.0182,7.1832,2.3053,-4.9695
30.861,0.1033,-0.9949,-0.0371,3.6031,3.4427,-2.4351
30.881,0.1019,-1.0073,-0.041,-3.4809,-1.1221,1.5496
30.901,0.1034,-0.9857,0.0001,-9.626,-3.2137,2.6336
30.921,0.0853,-0.9612,0.0112,-9.4046,-1.855,-0.4809
30.941,0.1044,-0.9767,-0.0253,-8.7328,-1.145,-1.8092
30.961,0.1022,-0.9844,-0.0591,-9.1832,-0.4351,-2.6565
30.981,0.0852,-0.9714,-0.0513,-9.1679,-2.1679,-1.0763
31.001,0.0865,-0.9618,-0.0337,-5.5725,-3.2672,0.4656
31.021,0.1035,-1.0001,-0.0073,-4.084,-2.4122,1.8626
31.041,0.1116,-0.9891,-0.0405,-5.313,-3.2748,2.5573
31.062,0.0912,-0.9812,-0.0635,-5.1069,-1.4198,0.6641
31.081,0.0673,-0.9402,-0.057,-4.7481,-3.3969,-0.6183
31.101,0.08,-0.9573,-0.0303,-0.7481,-0.3282,-2.9771
31.121,0.1123,-1.0094,0.0032,0.2061,0.2824,-1.8244
31.141,0.1046,-1.0095,-0.0477,-4.9237,-2.4046,4.2748
31.161,0.0688,-0.9651,-0.0874,-7.8626,-1.4885,3.8779
31.181,0.0692,-0.949,-0.067,-4.4122,1.0458,0.8015
31.201,0.0873,-0.9697,-0.0259,1.6336,2.4733,-1.4122
31.221,0.1094,-0.9872,0.0112,9.6565,2.687,-3.3511
31.241,0.1063,-0.9958,0.0051,3.4122,2.4351,-2.2901
31.261,0.0914,-0.9779,-0.0687,-3.5954,1.084,0.8092
31.281,0.0812,-0.972,-0.0552,-10.8855,-1.4656,4.9008
31.301,0.0913,-0.9773,-0.0195,-7.4122,-2.5115,2.687
31.321,0.0966,-0.9862,0.0048,1.7634,-1.0992,0.1145
31.341,0.08,-0.9631,-0.031,5.0763,0.0916,-2.374
31.361,0.0764,-0.9829,-0.0712,-1.5725,3.5191,-3.4504
31.381,0.0801,-0.9786,-0.069,-5.2061,1.4198,-1.7405
31.401,0.1063,-0.9878,-0.0132,-4.5115,1.7786,-2.8244
31.421,0.104,-0.985,0.0054,1.0916,2.6718,0.3664
31.441,0.0958,-0.9764,-0.0457,4.8321,3.0153,-1.6794
31.461,0.0906,-0.9894,-0.0601,-2.1221,2.4427,-1.084
31.481,0.0886,-0.9769,-0.0319,-6.5802,0.2748,1.8855
31.501,0.0969,-0.9814,-0.001,-4.4885,0.5344,1.0458
31.521,0.1025,-0.9724,0.0133,2.8244,1.3893,-0.4275
31.541,0.1007,-0.9878,-0.0328,1.5802,2.0763,-2.1374
31.561,0.0896,-0.9755,-0.0638,-0.9924,2.2672,-1.9771
31.581,0.0844,-0.9625,-0.0313,-5.8779,0.0153,-0.855
31.601,0.1017,-0.979,0.0111,-6.687,1.2519,1.3664
31.621,0.109,-0.9912,0.0264,1.8779,-1.0076,0.5267
31.641,0.1061,-0.9998,-0.0427,0.1298,1.4656,-1.0916
31.661,0.0861,-0.9808,-0.0637,-6.229,-1.4275,-0.3893
31.681,0.0881,-0.9677,-0.0374,-6.1985,-1.4046,-1.2214
31.702,0.098,-0.9851,-0.0038,-1.2061,0.9008,-2.0916
31.721,0.1017,-0.9861,0.0013,4.2137,-1.7863,-0.0076
31.741,0.1016,-0.9788,-0.0292,3.3664,-0.1069,-2.6412
31.761,0.0907,-0.9808,-0.0507,0.0611,1.8397,-2.7252
31.781,0.0911,-0.9731,-0.0248,-2.4962,-0.4198,-1.2443
31.801,0.0833,-0.9565,-0.0013,-3.2519,2.6489,-0.5038
31.821,0.0972,-0.979,0.0173,-1.5496,0.458,1.2214
31.841,0.1011,-0.991,-0.0167,-0.4962,0.6107,0.374
31.861,0.0823,-0.9877,-0.0466,-5.5573,2.0458,-0.5573
31.881,0.0867,-0.9659,-0.0248,-8.3053,0.5802,0.4885
31.901,0.1061,-0.9739,0.0217,-3.145,1.626,-0.3206
31.921,0.1152,-1.0055,0.0172,0.2748,1.4427,-0.2901
31.941,0.1144,-0.9979,-0.0298,-3.5344,-1.313,0.8626
31.961,0.0945,-0.9812,-0.0427,-7.4122,-1.8015,-0.1679
31.981,0.0825,-0.974,-0.0313,-6.6565,-2.2061,-1.4275
32.001,0.0974,-0.9691,-0.0023,-0.9084,-1.7252,-1.7252
32.021,0.1071,-1.0037,-0.0042,0.3359,-0.4122,-1.229
32.041,0.1024,-0.9838,-0.0482,-4.0763,2.2519,-1.2443
32.061,0.0853,-0.9652,-0.0443,-7.1832,-0.1832,-0.8092
32.081,0.0789,-0.9521,-0.0238,-4.4733,0.0305,-1.0916
32.101,0.099,-0.9741,-0.0063,-0.3817,1.0687,-0.1145
32.121,0.1139,-0.9908,-0.0002,11.4656,2.3053,-1.6107
32.141,0.1097,-0.9886,-0.0245,2.0,2.0992,-0.2595
32.161,0.0928,-0.993,-0.0387,-6.1832,-0.2595,-0.3359
